title,min_val,max_val,currency,link,site,employer,city
Водитель легкового автомобиля,32000,35000,руб.,https://hh.ru/vacancy/49532544?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ОТК,Москва
Водитель-экспедитор на Газель Next,50000,60000,руб.,https://hh.ru/vacancy/49000929?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ТК МилаТранс,"Москва, Волоколамская и еще 1 "
Водитель-курьер на личном автомобиле,95000,,руб.,https://hh.ru/vacancy/49359514?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,СДЭК,Москва
Водитель-экспедитор,,120000,руб.,https://hh.ru/vacancy/49864666?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Сервис-центр,"Москва, Бабушкинская и еще 3 "
Водитель на личном или корпоративном автомобиле,60000,,руб.,https://hh.ru/vacancy/41711969?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Lamoda,Москва
Водитель - курьер на личном автомобиле,120000,,руб.,https://hh.ru/vacancy/42225346?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ВсеИнструменты.ру,Москва
Водитель с личным грузовым автомобилем,120000,180000,руб.,https://hh.ru/vacancy/49743528?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,МОСПРИВОЗ,Москва
Водитель-курьер,95000,105000,руб.,https://hh.ru/vacancy/49925291?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,СДЭК,Москва
Водитель-курьер на личном автомобиле,85000,120000,руб.,https://hh.ru/vacancy/47397505?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Дио,"Москва, ВДНХ"
"Водитель-экспедитор категории ""ВС""",80000,110000,руб.,https://hh.ru/vacancy/42242453?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Деловые Линии,"Москва, Алтуфьево"
