title,min_val,max_val,currency,link,site,employer,city,uniq_key
Врач-педиатр участковый,35000,40000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-pediatr-uchastkovyj-39818414.html,superjob.ru,Городская больница г. Верхний Уфалей,Севастополь,39818414superjob.ru
Врач-терапевт участковый,,,,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-uchastkovyj-27852165.html,superjob.ru,"ГБУЗ С ""Городская больница №1""","Севастополь, улица Адмирала Октябрьского, 19",27852165superjob.ru
Врач акушер-гинеколог,,,,https://sevastopol.superjob.ru/vakansii/vrach-akusher-ginekolog-40028305.html,superjob.ru,Докамед,"Севастополь, улица Комбрига Потапова, 12",40028305superjob.ru
Врач-онколог (г. Ижевск),,,,https://sevastopol.superjob.ru/vakansii/vrach-onkolog-39862780.html,superjob.ru,РКОД им. С. Г. Примушко МЗ УР,Севастополь,39862780superjob.ru
Врач-терапевт участковый,,100000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-uchastkovyj-39860572.html,superjob.ru,"Государственное бюджетное учреждение Республики Саха (Якутия) ""Нижнеколымская центральная районная больница""",Севастополь,39860572superjob.ru
Врач-терапевт участковый,45000,50000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-uchastkovyj-39847800.html,superjob.ru,Неманская центральная районная больница,Севастополь,39847800superjob.ru
Врач анестезиолог-реаниматолог,,,,https://sevastopol.superjob.ru/vakansii/vrach-anesteziolog-reanimatolog-39628198.html,superjob.ru,"ГБУЗ МО ""Королёвская городская боьница""",Севастополь,39628198superjob.ru
"Заведующий, врач общей практики, семейный врач (Ермаковской ВА)",25479,28000,руб.,https://sevastopol.superjob.ru/vakansii/zaveduyuschij-38199160.html,superjob.ru,Министерство здравоохранения Республики Крым,Севастополь,38199160superjob.ru
Врач-травматолог,,,,https://sevastopol.superjob.ru/vakansii/vrach-travmatolog-38903813.html,superjob.ru,Медекс,"Севастополь, улица Хрусталёва, 84",38903813superjob.ru
Врач УЗИ,,,,https://sevastopol.superjob.ru/vakansii/vrach-uzi-38203039.html,superjob.ru,Медекс,"Севастополь, улица Хрусталёва, 84",38203039superjob.ru
Врач анестезиолог-реаниматолог,60000,70000,руб.,https://sevastopol.superjob.ru/vakansii/vrach-anesteziolog-reanimatolog-38316422.html,superjob.ru,ГБУЗ ЦРБ Новокубанского района,Севастополь,38316422superjob.ru
"Заведующий участковой больницей, врач-терапевт",50000,60000,руб.,https://sevastopol.superjob.ru/vakansii/zaveduyuschij-uchastkovoj-bolnicej-40064366.html,superjob.ru,ГБУЗ ЦРБ Новокубанского района,Севастополь,40064366superjob.ru
Врач общей практики,50000,,руб.,https://sevastopol.superjob.ru/vakansii/vrach-obschej-praktiki-38607932.html,superjob.ru,Медекс,"Севастополь, улица Хрусталёва, 84",38607932superjob.ru
Врач УЗИ,50000,,руб.,https://sevastopol.superjob.ru/vakansii/vrach-uzi-38615634.html,superjob.ru,Медекс,"Севастополь, улица Комбрига Потапова, 12",38615634superjob.ru
Врач-терапевт,50000,,руб.,https://sevastopol.superjob.ru/vakansii/vrach-terapevt-38615677.html,superjob.ru,Медекс,"Севастополь, улица Комбрига Потапова, 12",38615677superjob.ru
Врач-эндоскопист,120000,,руб.,https://sevastopol.superjob.ru/vakansii/vrach-endoskopist-38218996.html,superjob.ru,Медекс,"Севастополь, улица Хрусталёва, 84",38218996superjob.ru
Врач функциональной диагностики,20478,25500,руб.,https://sevastopol.superjob.ru/vakansii/vrach-funkcionalnoj-diagnostiki-38200457.html,superjob.ru,Джанкойская центральная районная больница,Севастополь,38200457superjob.ru
